app,workload,vus,run,throughput,avg,p95,p99,error_rate
mvc,io,100,1,922.9333514255715,94.71923635240618,177.26285125,251.32622775000002,0
mvc,io,800,2,983.7819725466499,745.7563396193772,963.57731385,1117.92625063,0
mvc,io,150,3,948.3435774176922,138.31678279065633,252.21847625,352.9613596,0
mvc,io,800,3,982.9141339083584,746.3599433150167,966.81824755,1262.5887322300002,0
mvc,io,200,3,958.1777984112084,182.56909914430366,353.59060905,505.1121965,0
webflux,io,200,3,955.1751702424668,183.15354137491525,204.0981291,208.72654099,0
mvc,cpu,10,2,40.78123592225463,215.95434666121795,296.2771744,318.02571591,0
mvc,io,400,1,973.1698591838281,376.7510521778723,712.19481825,1009.964441,0
mvc,cpu,100,2,40.939276023819176,2145.2281607815253,3401.9234638,3830.46780002,0
webflux,io,500,2,978.2571259780859,468.52153892220105,510.0200942,516.0457887800001,0
webflux,io,150,1,938.5569151438855,139.75962095586846,153.8684646,157.69760118,0
webflux,io,600,2,978.8814950652434,561.9900298785278,612.7855678000001,619.9739948,0
mvc,cpu,50,1,40.9328342447431,1071.7465467307622,1590.54438065,1777.4649345,0
mvc,cpu,10,3,40.96830508436574,214.97481524008512,292.446868,311.63934042,0
webflux,cpu,50,1,33.773644928319605,1299.5687405041292,1776.2299776,1895.24905584,0
webflux,cpu,10,1,33.434874418319474,263.45972283827535,359.829205,475.334809,0
webflux,cpu,100,3,33.83324459451261,2598.6632657522127,3313.70904945,3536.4075835699996,0
webflux,io,50,2,844.9372369993177,51.70852441680681,52.65561399999999,56.12061322,0
webflux,io,500,1,971.0926743012304,472.036816067513,513.2117409,520.07983748,0
mvc,io,250,2,958.508412938973,228.15396800616614,559.5937570000001,861.7192942000001,0
mvc,cpu,10,1,40.8398022323599,215.65577818414647,295.8510216,317.69057368,0
mvc,cpu,20,2,41.045512151084445,427.9725699535127,581.5210908499998,627.2575558899999,0
mvc,cpu,40,3,41.33936090524808,848.6529789746029,1247.1643536,1393.5566153299994,0
mvc,io,200,2,953.1914325330314,183.5333755029305,501.8194465999998,658.06715234,0
webflux,cpu,30,3,33.75148506870734,780.2690760106132,1182.769053,1302.879976,0
mvc,io,500,1,975.3091690438699,470.0162683774856,813.9101598000001,1066.125057599996,0
mvc,io,300,3,975.2275231482952,281.9062606046556,456.596077,610.155487,0
mvc,io,100,2,922.397510666105,94.76009158751465,199.29557939999992,251.47901195999998,0
mvc,io,400,2,978.6574668558327,374.65247012629396,558.1147330499999,712.14857237,0
mvc,cpu,30,2,41.07569813202715,641.0560061294236,919.7300806,1014.2565888,0
mvc,cpu,40,1,41.04646682565927,855.1793138138453,1256.0675860999997,1400.2712202999999,0
